Feature,Importance
PM10,0.8022517579297346
NH3,0.03827105770515888
NO2,0.033555594637339245
CO,0.030069729713674758
NOx,0.027097475252580393
O3,0.02454396713521024
NO,0.02415796061202425
SO2,0.02005245701427778
